Learning Rate,Dropout,Epochs,Accuracy
0.0001,0.1,20,0.725
0.0001,0.1,30,0.725
0.0001,0.1,40,0.675
0.0001,0.1,50,0.725
0.0001,0.1,60,0.775
0.0001,0.1,70,0.725
0.0001,0.2,20,0.675
0.0001,0.2,30,0.725
0.0001,0.2,40,0.8
0.0001,0.2,50,0.725
0.0001,0.2,60,0.725
0.0001,0.2,70,0.725
0.0001,0.3,20,0.725
0.0001,0.3,30,0.75
0.0001,0.3,40,0.8
0.0001,0.3,50,0.675
0.0001,0.3,60,0.75
0.0001,0.3,70,0.775
0.0001,0.35,20,0.7
0.0001,0.35,30,0.825
0.0001,0.35,40,0.775
0.0001,0.35,50,0.75
0.0001,0.35,60,0.775
0.0001,0.35,70,0.7
0.0001,0.4,20,0.75
0.0001,0.4,30,0.775
0.0001,0.4,40,0.7
0.0001,0.4,50,0.8
0.0001,0.4,60,0.725
0.0001,0.4,70,0.7
0.0001,0.5,20,0.725
0.0001,0.5,30,0.725
0.0001,0.5,40,0.8
0.0001,0.5,50,0.675
0.0001,0.5,60,0.725
0.0001,0.5,70,0.775
0.001,0.1,20,0.775
0.001,0.1,30,0.75
0.001,0.1,40,0.725
0.001,0.1,50,0.775
0.001,0.1,60,0.675
0.001,0.1,70,0.75
0.001,0.2,20,0.65
0.001,0.2,30,0.7
0.001,0.2,40,0.675
0.001,0.2,50,0.725
0.001,0.2,60,0.725
0.001,0.2,70,0.75
0.001,0.3,20,0.725
0.001,0.3,30,0.75
0.001,0.3,40,0.675
0.001,0.3,50,0.775
0.001,0.3,60,0.725
0.001,0.3,70,0.775
0.001,0.35,20,0.725
0.001,0.35,30,0.775
0.001,0.35,40,0.8
0.001,0.35,50,0.725
0.001,0.35,60,0.725
0.001,0.35,70,0.725
0.001,0.4,20,0.825
0.001,0.4,30,0.7
0.001,0.4,40,0.75
0.001,0.4,50,0.725
0.001,0.4,60,0.7
0.001,0.4,70,0.75
0.001,0.5,20,0.825
0.001,0.5,30,0.775
0.001,0.5,40,0.75
0.001,0.5,50,0.75
0.001,0.5,60,0.775
0.001,0.5,70,0.775
0.002,0.1,20,0.75
0.002,0.1,30,0.75
0.002,0.1,40,0.725
0.002,0.1,50,0.8
0.002,0.1,60,0.65
0.002,0.1,70,0.725
0.002,0.2,20,0.725
0.002,0.2,30,0.75
0.002,0.2,40,0.725
0.002,0.2,50,0.775
0.002,0.2,60,0.725
0.002,0.2,70,0.65
0.002,0.3,20,0.725
0.002,0.3,30,0.75
0.002,0.3,40,0.775
0.002,0.3,50,0.775
0.002,0.3,60,0.825
0.002,0.3,70,0.775
0.002,0.35,20,0.775
0.002,0.35,30,0.775
0.002,0.35,40,0.725
0.002,0.35,50,0.775
0.002,0.35,60,0.8
0.002,0.35,70,0.775
0.002,0.4,20,0.9
0.002,0.4,30,0.75
0.002,0.4,40,0.7
0.002,0.4,50,0.8
0.002,0.4,60,0.675
0.002,0.4,70,0.8
0.002,0.5,20,0.75
0.002,0.5,30,0.725
0.002,0.5,40,0.65
0.002,0.5,50,0.7
0.002,0.5,60,0.7
0.002,0.5,70,0.725
0.0025,0.1,20,0.725
0.0025,0.1,30,0.775
0.0025,0.1,40,0.675
0.0025,0.1,50,0.725
0.0025,0.1,60,0.775
0.0025,0.1,70,0.75
0.0025,0.2,20,0.775
0.0025,0.2,30,0.775
0.0025,0.2,40,0.725
0.0025,0.2,50,0.75
0.0025,0.2,60,0.75
0.0025,0.2,70,0.7
0.0025,0.3,20,0.775
0.0025,0.3,30,0.725
0.0025,0.3,40,0.775
0.0025,0.3,50,0.725
0.0025,0.3,60,0.775
0.0025,0.3,70,0.725
0.0025,0.35,20,0.75
0.0025,0.35,30,0.725
0.0025,0.35,40,0.65
0.0025,0.35,50,0.775
0.0025,0.35,60,0.7
0.0025,0.35,70,0.725
0.0025,0.4,20,0.75
0.0025,0.4,30,0.7
0.0025,0.4,40,0.75
0.0025,0.4,50,0.725
0.0025,0.4,60,0.75
0.0025,0.4,70,0.8
0.0025,0.5,20,0.85
0.0025,0.5,30,0.775
0.0025,0.5,40,0.75
0.0025,0.5,50,0.725
0.0025,0.5,60,0.725
0.0025,0.5,70,0.75
0.01,0.1,20,0.775
0.01,0.1,30,0.8
0.01,0.1,40,0.7
0.01,0.1,50,0.725
0.01,0.1,60,0.75
0.01,0.1,70,0.725
0.01,0.2,20,0.725
0.01,0.2,30,0.7
0.01,0.2,40,0.775
0.01,0.2,50,0.675
0.01,0.2,60,0.75
0.01,0.2,70,0.725
0.01,0.3,20,0.75
0.01,0.3,30,0.75
0.01,0.3,40,0.7
0.01,0.3,50,0.775
0.01,0.3,60,0.725
0.01,0.3,70,0.75
0.01,0.35,20,0.75
0.01,0.35,30,0.8
0.01,0.35,40,0.75
0.01,0.35,50,0.75
0.01,0.35,60,0.725
0.01,0.35,70,0.65
0.01,0.4,20,0.775
0.01,0.4,30,0.75
0.01,0.4,40,0.775
0.01,0.4,50,0.8
0.01,0.4,60,0.675
0.01,0.4,70,0.65
0.01,0.5,20,0.8
0.01,0.5,30,0.775
0.01,0.5,40,0.725
0.01,0.5,50,0.675
0.01,0.5,60,0.775
0.01,0.5,70,0.775
